,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags in thousands,Small Bags in thousands,Large Bags,XLarge Bags,year,region,Tipo_conventional,Tipo_organic
0,2015-12-27,1.33,64236,1036,54454,48,8.69687,8.603620000000001,93.25,0.0,2015,Albany,1,0
1,2015-12-20,1.35,54876,674,44638,58,9.50556,9.40807,97.49,0.0,2015,Albany,1,0
2,2015-12-13,0.93,118220,794,109149,130,8.14535,8.04221,103.14,0.0,2015,Albany,1,0
3,2015-12-06,1.08,78992,1132,71976,72,5.81116,5.6774,133.76,0.0,2015,Albany,1,0
4,2015-11-29,1.28,51039,941,43838,75,6.183949999999999,5.986260000000001,197.69,0.0,2015,Albany,1,0
5,2015-11-22,1.26,55979,1184,48067,43,6.68391,6.55647,127.44,0.0,2015,Albany,1,0
6,2015-11-15,0.99,83453,1368,73672,93,8.31886,8.19681,122.05,0.0,2015,Albany,1,0
7,2015-11-08,0.98,109428,703,101815,80,6.82922,6.266850000000001,562.37,0.0,2015,Albany,1,0
8,2015-11-01,1.02,99811,1022,87315,85,11.38836,11.10453,283.83,0.0,2015,Albany,1,0
9,2015-10-25,1.07,74338,842,64757,113,8.62592,8.06147,564.45,0.0,2015,Albany,1,0
10,2015-10-18,1.12,84843,924,75595,117,8.20566,7.87786,327.8,0.0,2015,Albany,1,0
11,2015-10-11,1.28,64489,1582,52677,105,10.123899999999999,9.86627,257.63,0.0,2015,Albany,1,0
12,2015-10-04,1.31,61007,2268,49880,101,8.75675,8.37998,376.77,0.0,2015,Albany,1,0
13,2015-09-27,0.99,106803,1204,99409,154,6.03446,5.88887,145.59,0.0,2015,Albany,1,0
14,2015-09-20,1.33,69759,1028,59313,150,9.26736,8.4891,778.26,0.0,2015,Albany,1,0
15,2015-09-13,1.28,76111,985,65696,142,9.28668,8.66519,621.49,0.0,2015,Albany,1,0
16,2015-09-06,1.11,99172,879,90062,240,7.9901,7.7628699999999995,227.23,0.0,2015,Albany,1,0
17,2015-08-30,1.07,105693,689,94362,335,10.30673,10.21893,87.8,0.0,2015,Albany,1,0
18,2015-08-23,1.34,79992,733,67933,444,10.880360000000001,10.745790000000001,134.57,0.0,2015,Albany,1,0
19,2015-08-16,1.33,80043,539,68666,394,10.44322,10.29768,145.54,0.0,2015,Albany,1,0
20,2015-08-09,1.12,111140,584,100961,368,9.22589,9.116340000000001,109.55,0.0,2015,Albany,1,0
21,2015-08-02,1.45,75133,509,62035,741,11.84702,11.76852,78.5,0.0,2015,Albany,1,0
22,2015-07-26,1.11,106757,648,91949,966,13.19269,13.061530000000001,131.16,0.0,2015,Albany,1,0
23,2015-07-19,1.26,96617,1042,82049,2238,11.28748,11.103489999999999,183.99,0.0,2015,Albany,1,0
24,2015-07-12,1.05,124055,672,94693,4257,24.431900000000002,24.290080000000003,108.49,33.33,2015,Albany,1,0
25,2015-07-05,1.35,109252,869,72600,5883,29.89896,29.66319,235.77,0.0,2015,Albany,1,0
26,2015-06-28,1.37,89534,664,57545,4662,26.662080000000003,26.31176,350.32,0.0,2015,Albany,1,0
27,2015-06-21,1.27,104849,804,76688,5481,21.87565,21.662,213.65,0.0,2015,Albany,1,0
28,2015-06-14,1.32,89631,850,55400,4377,29.00259,28.34314,659.45,0.0,2015,Albany,1,0
29,2015-06-07,1.07,122743,656,99220,90,22.775209999999998,22.31499,460.22,0.0,2015,Albany,1,0
30,2015-05-31,1.23,95123,922,70469,50,23.681009999999997,23.22249,458.52,0.0,2015,Albany,1,0
31,2015-05-24,1.19,101470,680,71376,58,29.355130000000003,28.76181,593.32,0.0,2015,Albany,1,0
32,2015-05-17,1.43,109857,1150,81955,94,26.657439999999998,26.28543,372.01,0.0,2015,Albany,1,0
33,2015-05-10,1.26,120427,1420,102000,185,16.8213,16.53555,285.75,0.0,2015,Albany,1,0
34,2015-05-03,1.2,59197,919,45490,217,12.57051,12.20195,368.56,0.0,2015,Albany,1,0
35,2015-04-26,1.22,49585,875,35841,89,12.77844,12.07683,701.61,0.0,2015,Albany,1,0
36,2015-04-19,1.19,49064,774,33941,47,14.30192,13.60297,698.95,0.0,2015,Albany,1,0
37,2015-04-12,1.13,48364,864,30374,21,17.10437,16.43849,665.88,0.0,2015,Albany,1,0
38,2015-04-05,1.16,47362,961,35577,93,10.72894,9.869159999999999,755.61,104.17,2015,Albany,1,0
39,2015-03-29,1.02,67799,1402,58623,89,7.68408,7.208489999999999,475.59,0.0,2015,Albany,1,0
40,2015-03-22,1.12,46346,2141,34313,141,9.74966,9.252600000000001,497.06,0.0,2015,Albany,1,0
41,2015-03-15,1.11,43045,2128,30447,99,10.37069,9.98959,381.1,0.0,2015,Albany,1,0
42,2015-03-08,1.07,40507,795,30370,159,9.181989999999999,8.827549999999999,354.44,0.0,2015,Albany,1,0
43,2015-03-01,0.99,55595,629,45633,181,9.15145,8.98606,165.39,0.0,2015,Albany,1,0
44,2015-02-22,1.07,45675,1088,35056,151,9.37954,9.00016,379.38,0.0,2015,Albany,1,0
45,2015-02-15,1.06,41567,986,30045,222,10.313030000000001,9.97987,333.16,0.0,2015,Albany,1,0
46,2015-02-08,0.99,51253,1357,39111,163,10.621540000000001,10.113100000000001,508.44,0.0,2015,Albany,1,0
47,2015-02-01,0.99,70873,1353,60017,179,9.32318,9.170819999999999,152.36,0.0,2015,Albany,1,0
48,2015-01-25,1.06,45147,941,33196,164,10.84582,10.10335,742.47,0.0,2015,Albany,1,0
49,2015-01-18,1.17,44511,914,31540,135,11.92105,11.65109,269.96,0.0,2015,Albany,1,0
50,2015-01-11,1.24,41195,1002,31640,127,8.42477,8.03604,388.73,0.0,2015,Albany,1,0
51,2015-01-04,1.22,40873,2819,28287,49,9.71646,9.18693,529.53,0.0,2015,Albany,1,0
52,2015-12-27,0.99,386100,292097,27350,297,66.35431,48.60595,17748.36,0.0,2015,Atlanta,1,0
53,2015-12-20,1.08,331377,251774,20702,103,58.79787,46.930260000000004,11867.61,0.0,2015,Atlanta,1,0
54,2015-12-13,0.96,417772,324932,31019,275,61.54531,38.90357,22628.21,13.53,2015,Atlanta,1,0
55,2015-12-06,1.07,357636,283024,23740,181,50.69004,37.032669999999996,13654.66,2.71,2015,Atlanta,1,0
56,2015-11-29,0.99,333280,250288,28889,307,53.79468,33.03172,20738.55,24.41,2015,Atlanta,1,0
57,2015-11-22,1.0,356414,269799,29732,501,56.38208,36.9923,19389.78,0.0,2015,Atlanta,1,0
58,2015-11-15,1.13,339860,263915,28442,455,47.04648,33.65642,13390.06,0.0,2015,Atlanta,1,0
59,2015-11-08,1.12,334041,250441,34483,488,48.62865,35.66293,12941.12,24.6,2015,Atlanta,1,0
60,2015-11-01,0.99,419088,290457,62980,252,65.39838,39.46077,25929.39,8.22,2015,Atlanta,1,0
61,2015-10-25,1.09,358478,236814,64607,304,56.75146,31.826880000000003,24924.58,0.0,2015,Atlanta,1,0
62,2015-10-18,1.09,349072,228710,59731,291,60.33919,36.88435,23454.84,0.0,2015,Atlanta,1,0
63,2015-10-11,0.95,433874,255933,91047,599,86.29411,41.15996,45134.15,0.0,2015,Atlanta,1,0
64,2015-10-04,0.96,418682,265797,92780,644,59.46041,14.875639999999999,44584.77,0.0,2015,Atlanta,1,0
65,2015-09-27,1.07,370321,262107,61870,680,45.6623,20.53387,25125.65,2.78,2015,Atlanta,1,0
66,2015-09-20,0.93,516432,346118,82762,1349,86.20196,33.69843,52442.25,61.28,2015,Atlanta,1,0
67,2015-09-13,1.07,417232,278048,62485,714,75.98302000000001,46.29032,29678.76,13.94,2015,Atlanta,1,0
68,2015-09-06,0.97,472136,303113,73675,911,94.43619,49.83355,44549.67,52.97,2015,Atlanta,1,0
69,2015-08-30,1.15,382972,275818,44839,1034,61.28124,47.13807,14112.5,30.67,2015,Atlanta,1,0
70,2015-08-23,1.12,379054,274462,46223,950,57.41809,45.53411,11883.98,0.0,2015,Atlanta,1,0
71,2015-08-16,1.09,465213,362579,41992,1424,59.2169,45.06825,14148.65,0.0,2015,Atlanta,1,0
72,2015-08-09,1.01,503791,385027,47040,4251,67.4722,45.820449999999994,21568.48,83.27,2015,Atlanta,1,0
73,2015-08-02,1.15,405898,306587,41906,3515,53.88832,42.12647,11720.3,41.55,2015,Atlanta,1,0
74,2015-07-26,1.08,437377,335372,44087,708,57.210660000000004,45.11422,12096.44,0.0,2015,Atlanta,1,0
75,2015-07-19,0.97,557212,446100,47838,1982,61.292370000000005,45.09987,16192.5,0.0,2015,Atlanta,1,0
76,2015-07-12,1.14,407204,310080,37953,867,58.30385,46.02359,12280.26,0.0,2015,Atlanta,1,0
77,2015-07-05,1.01,562462,436377,54675,848,70.56049,50.68474,19851.0,24.75,2015,Atlanta,1,0
78,2015-06-28,1.13,435210,331353,37698,816,65.34219,52.09976,13108.03,134.4,2015,Atlanta,1,0
79,2015-06-21,0.99,554763,449311,30231,678,74.54211,55.48476,19010.81,46.54,2015,Atlanta,1,0
80,2015-06-14,1.1,465804,386370,17701,471,61.26144,48.61213,12578.28,71.03,2015,Atlanta,1,0
81,2015-06-07,0.99,551009,455565,22414,738,72.29028,50.95484,21329.99,5.45,2015,Atlanta,1,0
82,2015-05-31,1.1,454702,382900,19543,522,51.73502,40.505160000000004,11199.95,29.91,2015,Atlanta,1,0
83,2015-05-24,0.96,623212,538126,27284,1260,56.53987,33.867,22651.15,21.72,2015,Atlanta,1,0
84,2015-05-17,1.11,451250,386400,18618,838,45.39229,33.7102,11682.09,0.0,2015,Atlanta,1,0
85,2015-05-10,1.1,480071,413452,18860,1089,46.668260000000004,34.10844,12559.82,0.0,2015,Atlanta,1,0
86,2015-05-03,1.0,634213,538403,28568,1059,66.18163,32.52082,33660.81,0.0,2015,Atlanta,1,0
87,2015-04-26,1.12,448596,387676,18366,1041,41.51184,31.31529,10196.55,0.0,2015,Atlanta,1,0
88,2015-04-19,1.12,430966,368709,18040,873,43.3426,29.661720000000003,13680.88,0.0,2015,Atlanta,1,0
89,2015-04-12,0.99,451101,377578,22419,219,50.88432,25.83307,25051.25,0.0,2015,Atlanta,1,0
90,2015-04-05,1.04,383139,318473,19254,374,45.03712,28.612479999999998,16289.92,134.72,2015,Atlanta,1,0
91,2015-03-29,1.11,365722,305028,16651,261,43.78025,29.31392,14466.33,0.0,2015,Atlanta,1,0
92,2015-03-22,1.0,479590,393591,23419,304,62.2751,40.49512,21766.54,13.44,2015,Atlanta,1,0
93,2015-03-15,1.12,399566,336172,16508,310,46.575230000000005,34.911699999999996,11625.94,37.59,2015,Atlanta,1,0
94,2015-03-08,1.1,420826,361559,15788,236,43.24142,33.84733,9394.09,0.0,2015,Atlanta,1,0
95,2015-03-01,0.99,512532,441544,21183,347,49.45696,32.1809,17273.38,2.68,2015,Atlanta,1,0
96,2015-02-22,1.1,431308,369316,18324,237,43.43004,33.423739999999995,10006.3,0.0,2015,Atlanta,1,0
97,2015-02-15,1.06,427391,364446,17420,638,44.88592,26.72766,18158.26,0.0,2015,Atlanta,1,0
98,2015-02-08,1.03,433883,377256,17162,524,38.94018,18.04441,20895.77,0.0,2015,Atlanta,1,0
99,2015-02-01,0.96,636771,553198,31583,294,51.694489999999995,10.55373,41140.76,0.0,2015,Atlanta,1,0
100,2015-01-25,1.1,449332,393408,18718,594,36.61216,13.17639,23435.77,0.0,2015,Atlanta,1,0
101,2015-01-18,1.11,431490,372236,18701,511,40.04048,16.782709999999998,23257.77,0.0,2015,Atlanta,1,0
102,2015-01-11,1.11,397542,330411,18958,1135,47.03808,21.30961,25728.47,0.0,2015,Atlanta,1,0
103,2015-01-04,1.0,435021,364302,23821,82,46.81579,16.707150000000002,30108.64,0.0,2015,Atlanta,1,0
104,2015-12-27,1.17,596819,40450,394104,17353,144.9111,142.54388,2367.22,0.0,2015,BaltimoreWashington,1,0
105,2015-12-20,1.11,642682,44741,434590,19112,144.23807,141.75191,2486.16,0.0,2015,BaltimoreWashington,1,0
106,2015-12-13,1.15,619509,44400,399851,24291,150.96628,149.0704,1895.88,0.0,2015,BaltimoreWashington,1,0
107,2015-12-06,1.04,649141,51129,453586,25760,118.66497,117.11277,1552.2,0.0,2015,BaltimoreWashington,1,0
108,2015-11-29,1.16,545800,41028,379156,20147,105.46828,103.61595,1852.33,0.0,2015,BaltimoreWashington,1,0
109,2015-11-22,1.12,572019,40867,386137,23343,121.67072999999999,119.00761,2663.12,0.0,2015,BaltimoreWashington,1,0
110,2015-11-15,1.04,718330,47109,503470,37990,129.76036,125.29767,4462.69,0.0,2015,BaltimoreWashington,1,0
111,2015-11-08,1.05,830967,58579,576512,51035,144.84020999999998,138.77763000000002,6062.58,0.0,2015,BaltimoreWashington,1,0
112,2015-11-01,1.12,742220,51860,473819,58615,157.9257,152.7164,5209.3,0.0,2015,BaltimoreWashington,1,0
113,2015-10-25,1.19,656892,53766,397911,49085,156.12869,149.98755,6141.14,0.0,2015,BaltimoreWashington,1,0
114,2015-10-18,0.99,1005603,59121,745385,49171,151.92564000000002,146.42102,5504.62,0.0,2015,BaltimoreWashington,1,0
115,2015-10-11,1.24,653560,34707,392008,58490,168.35442,163.66901000000001,4685.41,0.0,2015,BaltimoreWashington,1,0
116,2015-10-04,1.28,657444,35342,407609,42257,172.23402,167.49461,4739.41,0.0,2015,BaltimoreWashington,1,0
117,2015-09-27,1.19,696281,34309,451061,59018,151.89311999999998,146.79281,5100.31,0.0,2015,BaltimoreWashington,1,0
118,2015-09-20,1.17,709268,39619,450283,45336,174.02962,168.88978,5139.84,0.0,2015,BaltimoreWashington,1,0
119,2015-09-13,1.09,924993,55699,675524,42270,151.49956,145.68601999999998,5813.54,0.0,2015,BaltimoreWashington,1,0
120,2015-09-06,1.18,823623,63903,522568,68180,168.97084,165.69657999999998,3268.72,5.54,2015,BaltimoreWashington,1,0
121,2015-08-30,1.24,734721,48455,458207,42754,185.30424,181.96879,3158.9,176.55,2015,BaltimoreWashington,1,0
122,2015-08-23,1.16,783935,59242,499100,47216,178.37677,175.04715,3060.44,269.18,2015,BaltimoreWashington,1,0
123,2015-08-16,1.14,882754,86492,597184,43102,155.97535,153.15663,2796.82,21.9,2015,BaltimoreWashington,1,0
124,2015-08-09,1.16,821523,56362,557363,42933,164.86289000000002,161.56481,3298.08,0.0,2015,BaltimoreWashington,1,0
125,2015-08-02,1.17,800603,53957,535167,44749,166.72892000000002,163.66768,3061.24,0.0,2015,BaltimoreWashington,1,0
126,2015-07-26,1.2,772926,52746,496508,45010,178.66025,174.7748,3880.04,5.41,2015,BaltimoreWashington,1,0
127,2015-07-19,1.18,800194,52954,496206,50319,200.71309,196.8376,3862.02,13.47,2015,BaltimoreWashington,1,0
128,2015-07-12,1.1,850931,58827,547537,50679,193.88717000000003,189.23632,4406.05,244.8,2015,BaltimoreWashington,1,0
129,2015-07-05,1.16,896298,66504,567640,56044,206.10889,200.09798999999998,5890.57,120.33,2015,BaltimoreWashington,1,0
130,2015-06-28,1.15,862261,65051,534535,51109,211.56463,207.37809,4022.51,164.03,2015,BaltimoreWashington,1,0
131,2015-06-21,1.16,862840,58398,527866,51952,224.62273000000002,220.90435,3488.37,230.01,2015,BaltimoreWashington,1,0
132,2015-06-14,1.09,955046,64005,593499,48344,249.19718,244.98226,3668.3,546.62,2015,BaltimoreWashington,1,0
133,2015-06-07,1.26,794310,62585,462951,43720,225.05284,221.16585,3626.41,260.58,2015,BaltimoreWashington,1,0
134,2015-05-31,1.19,949177,67744,617813,45832,217.78555,211.78729,5730.22,268.04,2015,BaltimoreWashington,1,0
135,2015-05-24,1.18,908661,63610,560740,49808,234.50317,228.84295,5548.94,111.28,2015,BaltimoreWashington,1,0
136,2015-05-17,1.27,790853,63515,455166,44840,227.33117000000001,222.16310000000001,5152.19,15.88,2015,BaltimoreWashington,1,0
137,2015-05-10,1.26,855205,79192,507104,44390,224.51906,215.57203,8947.03,0.0,2015,BaltimoreWashington,1,0
138,2015-05-03,1.17,896972,73038,536709,77537,209.68617,201.87428,7767.45,44.44,2015,BaltimoreWashington,1,0
139,2015-04-26,1.29,747841,58013,431532,39942,218.3518,212.06473,6184.29,102.78,2015,BaltimoreWashington,1,0
140,2015-04-19,1.28,762862,67486,427623,42125,225.62729000000002,219.88588000000001,5741.41,0.0,2015,BaltimoreWashington,1,0
