,index,Object Number,Object ID,Object Name,Title,Century,Medium,Dimensions,Link Resource,Country
0,114847,64.101.392,203285,Milk jug with cover,Milk jug with cover,XVIII,"Painted enamel on copper, partly gilt; silver gilt",H. 5-3/4 in. (14.6 cm),http://www.metmuseum.org/art/collection/search/203285,Austria
1,114848,"64.101.393, .394",203286,Cup and saucer,Cup and saucer,XVIII,"Painted enamel on copper, partly gilt; silver gilt",Height (cup): 1 3/4 in. (4.4 cm); Diameter (cup): 2 7/8 in. (7.3 cm); Height (saucer): 7/8 in. (2.2 cm); Diameter (saucer): 4 3/8 in. (11.1 cm),http://www.metmuseum.org/art/collection/search/203286,Germany
2,114849,64.101.395,203287,Beaker,Beaker (one of a pair),XVIII,"Painted enamel on copper, partly gilt; silver gilt",Height: 3 5/8 in. (9.2 cm); Diameter: 2 7/8 in. (7.3 cm),http://www.metmuseum.org/art/collection/search/203287,Germany
3,114850,64.101.396,203288,Beaker,Beaker (one of a pair),XVIII,"Painted enamel on copper, partly gilt; silver gilt",Height: 3 5/8 in. (9.2 cm); Diameter: 2 7/8 in. (7.3 cm),http://www.metmuseum.org/art/collection/search/203288,Germany
4,114851,64.101.397,203289,Plaque,Plaque,XVIII,"Painted enamel on copper, with applied gold relief",H. 1-3/4 in. (4.5 cm.); L. 2-5/8 in. (6.7 cm.),http://www.metmuseum.org/art/collection/search/203289,Germany
5,120070,63.77,209241,"Snuffbox cover, painting","Snuffbox cover with portrait of Frederick the Great (1712–1786), King of Prussia",XVIII,Painted enamel on copper; copper gilt,2 3/4 x 3 7/16 in. (7 x 8.7 cm),http://www.metmuseum.org/art/collection/search/209241,Germany
6,107110,23.188.1,195025,Frieze panel,Head of a youth,XV,Tempera on wood,Overall: 14 1/2 × 20 1/2 in. (36.8 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195025,Italy
7,107119,23.188.10,195034,Frieze panel,Head of a man,XV,Tempera on wood,Overall: 14 1/4 × 20 1/2 in. (36.2 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195034,Italy
8,107120,23.188.11,195035,Frieze panel,Head of a woman,XV,Tempera on wood,Overall: 15 7/8 × 20 1/2 in. (40.3 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195035,Italy
9,107121,23.188.12,195036,Frieze panel,Head of a woman,XV,Tempera on wood,Overall: 16 × 20 1/2 in. (40.6 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195036,Italy
10,107122,23.188.13,195037,Frieze panel,Head of a man,XV,Tempera on wood,Overall: 16 1/2 × 20 1/2 in. (41.9 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195037,Italy
11,107123,23.188.14,195038,Frieze panel,Head of a woman,XV,Tempera on wood,Overall: 18 1/4 × 20 1/2 in. (46.4 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195038,Italy
12,98613,80.3.682,185933,Painting,Classical design,XVI,"Oil on wood, chiaroscuro",Overall: 4 1/8 × 46 5/8 in. (10.5 × 118.4 cm),http://www.metmuseum.org/art/collection/search/185933,Italy
13,98614,80.3.683,185934,Painting,Classical design,XVI,"Oil on wood, chiaroscuro",Overall: 4 1/8 × 45 in. (10.5 × 114.3 cm),http://www.metmuseum.org/art/collection/search/185934,Italy
14,107111,23.188.2,195026,Frieze panel,Head of a woman,XVI,Tempera on wood,Overall: 13 × 20 1/2 in. (33 × 52.1 cm),http://www.metmuseum.org/art/collection/search/195026,Italy
