,date,location,operator,ac_type,registration,aboard,fatalities,ground,summary
0,"September 17, 1908","Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,,2,1,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1,"September 07, 1909","Juvisy-sur-Orge, France",,Wright Byplane,SC1,1,1,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
2,"July 12, 1912","Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,,5,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
3,"August 06, 1913","Victoria, British Columbia, Canada",Private,Curtiss seaplane,,1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
4,"September 09, 1913",Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),,20,14,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
5,"October 17, 1913","Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),,30,30,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
6,"March 05, 1915","Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),,41,21,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
7,"September 03, 1915","Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),,19,19,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
8,"July 28, 1916","Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),,20,20,0,"Crashed near the Black Sea, cause unknown."
9,"September 24, 1916","Billericay, England",Military - German Navy,Zeppelin L-32 (airship),,22,22,0,Shot down by British aircraft crashing in flames.
10,"October 01, 1916","Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),,19,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11,"November 21, 1916","Mainz, Germany",Military - German Army,Super Zeppelin (airship),,28,27,0,Crashed in a storm.
12,"November 28, 1916","Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),,20,20,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
13,"March 04, 1917","Near Gent, Belgium",Military - German Army,Airship,,20,20,0,Caught fire and crashed.
14,"March 30, 1917",Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),,23,23,0,Struck by lightning and crashed into the Baltic Sea.
15,"May 14, 1917","Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),,21,21,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
16,"June 14, 1917","Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),,24,24,0,Shot down by British aircraft.
17,"June 17, 1917","Near Yarmouth, England",,Zepplin LZ-95 (air ship),L-48,16,14,0,Shot down by aircraft.
18,"August 21, 1917",Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),,18,18,0,Shot down by British aircraft.
19,"October 20, 1917","Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),,18,18,0,Shot down by French anti-aircraft fire.
20,"April 07, 1918",Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),,23,23,0,Exploded and crashed into the sea off the southern coast of Italy.
21,"May 10, 1918","Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),,22,22,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
22,"August 11, 1918","Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),,19,19,0,Shot down by british aircraft.
23,"December 16, 1918","Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,97,1,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
24,"May 25, 1919","Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,61,1,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
25,"July 19, 1919","Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,82,1,1,0,
26,"August 02, 1919","Verona, Italy",Caproni Company,Caproni Ca.48,,14,14,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
27,"October 02, 1919","Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,,1,1,0,
28,"October 14, 1919","Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,32,1,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed in a wooded area."
30,"October 30, 1919","Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,77,1,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
31,"December 11, 1919","Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,G-EAHF,1,1,0,Crashed in a field while attemptting to land.
32,"March 10, 1920","New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,65,1,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
33,"March 30, 1920","Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,72,1,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
34,"April 10, 1920","Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,49,2,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed near Newark.
35,"April 11, 1920","Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,44,2,1,0,The aircraft crashed while on approach for unknown reasons.
36,"May 12, 1920","Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,79,2,1,0,"The pilot lost his orientation after weather conditions worsened, He eventually lost control of the plane and crashed in a field."
37,"June 06, 1920","Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,204,1,1,0,The aircraft suffered engine failure and crashed shortly after taking off.
38,"June 20, 1920","Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
39,"August 16, 1920","Bedford, England",By Air,Armstrong-Whitworth F-K-8,G-EALW,1,1,0,The plane crashed during a cargo flight under unknown circumstances.
40,"August 16, 1920","College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,317,1,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
41,"September 01, 1920","Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,305,2,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
42,"September 15, 1920","Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,308,2,2,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
43,"September 27, 1920","Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,316,1,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
44,"October 02, 1920","Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,F-ALAI,2,2,0,Crashed into the Mediterranean while on a mail flight.
45,"October 05, 1920","Valencia, Spain",Latecoere Airlines,Breguet 14,F-ALTA,2,2,0,While on a mail flight the plane crashed while attempting to land.
46,"October 15, 1920","Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,76,1,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
47,"November 07, 1920","Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,,1,1,0,The aircraft crashed into a mountain in poor weather condtions.
