Site,Reading Time,Pollutant Name,Value,Units,Provisional or Ratified
HP1,17/12/2018 15:00,NO,4.2,ug m-3,P
HP1,17/12/2018 16:00,NO,6.7,ug m-3,P
HP1,17/12/2018 17:00,NO,4.9,ug m-3,P
HP1,17/12/2018 18:00,NO,3.0,ug m-3,P
HP1,17/12/2018 19:00,NO,3.0,ug m-3,P
HP1,17/12/2018 20:00,NO,4.6,ug m-3,P
HP1,17/12/2018 21:00,NO,3.0,ug m-3,P
HP1,17/12/2018 22:00,NO,3.0,ug m-3,P
HP1,17/12/2018 23:00,NO,1.7,ug m-3,P
HP1,18/12/2018 00:00,NO,1.7,ug m-3,P
HP1,18/12/2018 01:00,NO,1.7,ug m-3,P
HP1,18/12/2018 02:00,NO,1.7,ug m-3,P
HP1,18/12/2018 03:00,NO,1.7,ug m-3,P
HP1,18/12/2018 04:00,NO,1.7,ug m-3,P
HP1,18/12/2018 05:00,NO,2.1,ug m-3,P
HP1,18/12/2018 06:00,NO,3.0,ug m-3,P
HP1,18/12/2018 07:00,NO,3.0,ug m-3,P
HP1,18/12/2018 08:00,NO,3.0,ug m-3,P
HP1,18/12/2018 09:00,NO,3.0,ug m-3,P
HP1,18/12/2018 10:00,NO,3.0,ug m-3,P
HP1,18/12/2018 11:00,NO,3.0,ug m-3,P
HP1,18/12/2018 12:00,NO,3.0,ug m-3,P
HP1,18/12/2018 13:00,NO,3.0,ug m-3,P
HP1,18/12/2018 14:00,NO,3.0,ug m-3,P
HP1,18/12/2018 15:00,NO,3.0,ug m-3,P
HP1,18/12/2018 16:00,NO,3.0,ug m-3,P
HP1,18/12/2018 17:00,NO,3.0,ug m-3,P
HP1,18/12/2018 18:00,NO,3.0,ug m-3,P
HP1,18/12/2018 19:00,NO,3.0,ug m-3,P
HP1,18/12/2018 20:00,NO,3.0,ug m-3,P
HP1,18/12/2018 21:00,NO,3.0,ug m-3,P
HP1,18/12/2018 22:00,NO,3.0,ug m-3,P
HP1,18/12/2018 23:00,NO,2.4,ug m-3,P
HP1,19/12/2018 00:00,NO,1.7,ug m-3,P
HP1,19/12/2018 01:00,NO,1.7,ug m-3,P
HP1,19/12/2018 02:00,NO,1.7,ug m-3,P
HP1,19/12/2018 03:00,NO,1.7,ug m-3,P
HP1,19/12/2018 04:00,NO,1.7,ug m-3,P
HP1,19/12/2018 05:00,NO,1.7,ug m-3,P
HP1,19/12/2018 06:00,NO,3.0,ug m-3,P
HP1,19/12/2018 07:00,NO,3.0,ug m-3,P
HP1,19/12/2018 08:00,NO,3.6,ug m-3,P
HP1,19/12/2018 09:00,NO,4.6,ug m-3,P
HP1,19/12/2018 10:00,NO,4.9,ug m-3,P
HP1,19/12/2018 11:00,NO,5.5,ug m-3,P
HP1,19/12/2018 12:00,NO,4.2,ug m-3,P
HP1,19/12/2018 13:00,NO,4.2,ug m-3,P
HP1,19/12/2018 14:00,NO,3.9,ug m-3,P
HP1,19/12/2018 15:00,NO,3.0,ug m-3,P
HP1,19/12/2018 16:00,NO,3.3,ug m-3,P
HP1,19/12/2018 17:00,NO,3.0,ug m-3,P
HP1,19/12/2018 18:00,NO,3.0,ug m-3,P
HP1,19/12/2018 19:00,NO,3.0,ug m-3,P
HP1,19/12/2018 20:00,NO,3.0,ug m-3,P
HP1,19/12/2018 21:00,NO,3.0,ug m-3,P
HP1,19/12/2018 22:00,NO,2.1,ug m-3,P
HP1,19/12/2018 23:00,NO,2.4,ug m-3,P
HP1,20/12/2018 00:00,NO,1.7,ug m-3,P
HP1,20/12/2018 01:00,NO,1.7,ug m-3,P
HP1,20/12/2018 02:00,NO,1.7,ug m-3,P
HP1,20/12/2018 03:00,NO,1.7,ug m-3,P
HP1,20/12/2018 04:00,NO,1.7,ug m-3,P
HP1,20/12/2018 05:00,NO,2.7,ug m-3,P
HP1,20/12/2018 06:00,NO,3.0,ug m-3,P
HP1,20/12/2018 07:00,NO,3.6,ug m-3,P
HP1,20/12/2018 08:00,NO,4.2,ug m-3,P
HP1,20/12/2018 09:00,NO,5.5,ug m-3,P
HP1,20/12/2018 10:00,NO,5.5,ug m-3,P
HP1,20/12/2018 11:00,NO,4.9,ug m-3,P
HP1,20/12/2018 12:00,NO,4.6,ug m-3,P
HP1,20/12/2018 13:00,NO,4.6,ug m-3,P
HP1,20/12/2018 14:00,NO,3.3,ug m-3,P
HP1,20/12/2018 15:00,NO,3.0,ug m-3,P
HP1,20/12/2018 16:00,NO,3.3,ug m-3,P
HP1,20/12/2018 17:00,NO,3.0,ug m-3,P
HP1,20/12/2018 18:00,NO,3.0,ug m-3,P
HP1,20/12/2018 19:00,NO,3.0,ug m-3,P
HP1,20/12/2018 20:00,NO,3.0,ug m-3,P
HP1,20/12/2018 21:00,NO,3.0,ug m-3,P
HP1,20/12/2018 22:00,NO,1.7,ug m-3,P
HP1,20/12/2018 23:00,NO,1.7,ug m-3,P
HP1,21/12/2018 00:00,NO,1.7,ug m-3,P
HP1,21/12/2018 01:00,NO,1.7,ug m-3,P
HP1,21/12/2018 02:00,NO,1.7,ug m-3,P
HP1,21/12/2018 03:00,NO,1.7,ug m-3,P
HP1,21/12/2018 04:00,NO,1.7,ug m-3,P
HP1,21/12/2018 05:00,NO,2.7,ug m-3,P
