Outlier,Pollutant Name,Provisional or Ratified,Reading Time,Site,Units,Value
Value,NO,P,25/12/2018 00:00,HP1,ug m-3,131.2
Value,NO,P,25/12/2018 01:00,HP1,ug m-3,142.39999
Value,NO,P,25/12/2018 02:00,HP1,ug m-3,125.2
Value,NO,P,25/12/2018 03:00,HP1,ug m-3,102.5
Value,NO,P,27/12/2018 10:00,HP1,ug m-3,102.8
Value,NO,P,27/12/2018 11:00,HP1,ug m-3,98.7
Value,NO,P,27/12/2018 12:00,HP1,ug m-3,106.8
Value,NO,P,27/12/2018 13:00,HP1,ug m-3,99.0
Value,NO,P,27/12/2018 15:00,HP1,ug m-3,96.5
Value,NO,P,27/12/2018 16:00,HP1,ug m-3,104.6
Value,NO,P,27/12/2018 17:00,HP1,ug m-3,119.3
Value,NO,P,27/12/2018 18:00,HP1,ug m-3,143.0
Value,NO,P,27/12/2018 19:00,HP1,ug m-3,121.2
Value,NO,P,27/12/2018 20:00,HP1,ug m-3,157.3
Value,NO,P,27/12/2018 21:00,HP1,ug m-3,176.7
Value,NO,P,27/12/2018 22:00,HP1,ug m-3,172.60001
Value,NO,P,27/12/2018 23:00,HP1,ug m-3,130.2
Value,NO,P,10/01/2019 09:00,HP1,ug m-3,109.0
Value,NO,P,10/01/2019 10:00,HP1,ug m-3,100.3
Value,NO,P,18/01/2019 08:00,HP1,ug m-3,118.7
Value,NO,P,18/01/2019 09:00,HP1,ug m-3,110.9
Value,NO,P,24/01/2019 16:00,HP1,ug m-3,94.0
Value,NO,P,24/01/2019 17:00,HP1,ug m-3,112.6
Value,NO,P,24/01/2019 18:00,HP1,ug m-3,132.39999
Value,NO,P,24/01/2019 19:00,HP1,ug m-3,148.5
Value,NO,P,24/01/2019 20:00,HP1,ug m-3,145.89999
Value,NO,P,24/01/2019 21:00,HP1,ug m-3,149.8
Value,NO,P,24/01/2019 22:00,HP1,ug m-3,134.10001
Value,NO,P,24/01/2019 23:00,HP1,ug m-3,127.2
Value,NO,P,25/01/2019 00:00,HP1,ug m-3,124.4
Value,NO,P,25/01/2019 01:00,HP1,ug m-3,142.3
Value,NO,P,28/01/2019 20:00,HP1,ug m-3,97.0
Value,NO,P,30/01/2019 20:00,HP1,ug m-3,107.1
Value,NO,P,30/01/2019 21:00,HP1,ug m-3,133.7
Value,NO,P,30/01/2019 22:00,HP1,ug m-3,141.10001
Value,NO,P,30/01/2019 23:00,HP1,ug m-3,143.10001
Value,NO,P,31/01/2019 00:00,HP1,ug m-3,172.0
Value,NO,P,31/01/2019 01:00,HP1,ug m-3,150.0
Value,NO,P,31/01/2019 02:00,HP1,ug m-3,139.89999
Value,NO,P,31/01/2019 03:00,HP1,ug m-3,116.3
Value,NO,P,31/01/2019 04:00,HP1,ug m-3,99.5
Value,NO,P,31/01/2019 07:00,HP1,ug m-3,144.39999
Value,NO,P,31/01/2019 08:00,HP1,ug m-3,164.39999
Value,NO,P,31/01/2019 09:00,HP1,ug m-3,204.3
Value,NO,P,31/01/2019 10:00,HP1,ug m-3,134.60001
Value,NO,P,31/01/2019 11:00,HP1,ug m-3,93.3
Value,NO,P,14/02/2019 08:00,HP1,ug m-3,159.2
Value,NO,P,14/02/2019 09:00,HP1,ug m-3,138.39999
Value,NO,P,22/02/2019 19:00,HP1,ug m-3,92.4
Value,NO,P,23/02/2019 22:00,HP1,ug m-3,97.1
Value,NO,P,24/02/2019 03:00,HP1,ug m-3,96.0
Value,NO,P,24/02/2019 20:00,HP1,ug m-3,92.9
Value,NO,P,24/02/2019 21:00,HP1,ug m-3,99.3
Value,NO,P,24/02/2019 22:00,HP1,ug m-3,114.3
Value,NO,P,24/02/2019 23:00,HP1,ug m-3,113.8
Value,NO,P,25/02/2019 00:00,HP1,ug m-3,117.2
Value,NO,P,25/02/2019 01:00,HP1,ug m-3,118.4
Value,NO,P,25/02/2019 02:00,HP1,ug m-3,116.8
Value,NO,P,25/02/2019 03:00,HP1,ug m-3,111.3
Value,NO,P,25/02/2019 04:00,HP1,ug m-3,111.3
Value,NO,P,25/02/2019 05:00,HP1,ug m-3,119.3
Value,NO,P,25/02/2019 06:00,HP1,ug m-3,125.0
Value,NO,P,25/02/2019 07:00,HP1,ug m-3,126.7
Value,NO,P,25/02/2019 08:00,HP1,ug m-3,174.89999
Value,NO,P,25/02/2019 09:00,HP1,ug m-3,213.0
Value,NO,P,25/02/2019 10:00,HP1,ug m-3,189.3
Value,NO,P,25/02/2019 11:00,HP1,ug m-3,171.5
Value,NO,P,25/02/2019 12:00,HP1,ug m-3,150.0
Value,NO,P,25/02/2019 21:00,HP1,ug m-3,110.9
Value,NO,P,25/02/2019 22:00,HP1,ug m-3,127.5
Value,NO,P,25/02/2019 23:00,HP1,ug m-3,126.3
Value,NO,P,26/02/2019 00:00,HP1,ug m-3,146.60001
Value,NO,P,26/02/2019 01:00,HP1,ug m-3,167.0
Value,NO,P,26/02/2019 02:00,HP1,ug m-3,146.5
Value,NO,P,26/02/2019 03:00,HP1,ug m-3,135.10001
Value,NO,P,26/02/2019 04:00,HP1,ug m-3,136.10001
Value,NO,P,26/02/2019 05:00,HP1,ug m-3,127.9
Value,NO,P,26/02/2019 06:00,HP1,ug m-3,135.60001
Value,NO,P,26/02/2019 07:00,HP1,ug m-3,188.10001
Value,NO,P,26/02/2019 08:00,HP1,ug m-3,188.89999
Value,NO,P,26/02/2019 09:00,HP1,ug m-3,156.0
Value,NO,P,26/02/2019 10:00,HP1,ug m-3,129.2
Value,NO,P,26/02/2019 11:00,HP1,ug m-3,177.8
Value,NO,P,26/02/2019 12:00,HP1,ug m-3,143.0
Value,NO,P,26/02/2019 18:00,HP1,ug m-3,136.10001
Value,NO,P,26/02/2019 19:00,HP1,ug m-3,140.5
Value,NO,P,26/02/2019 20:00,HP1,ug m-3,134.10001
Value,NO,P,26/02/2019 21:00,HP1,ug m-3,135.60001
Value,NO,P,26/02/2019 22:00,HP1,ug m-3,125.1
Value,NO,P,26/02/2019 23:00,HP1,ug m-3,135.10001
Value,NO,P,27/02/2019 00:00,HP1,ug m-3,135.10001
Value,NO,P,27/02/2019 01:00,HP1,ug m-3,136.3
Value,NO,P,27/02/2019 02:00,HP1,ug m-3,137.8
Value,NO,P,27/02/2019 03:00,HP1,ug m-3,132.7
Value,NO,P,27/02/2019 04:00,HP1,ug m-3,129.10001
Value,NO,P,27/02/2019 05:00,HP1,ug m-3,132.3
Value,NO,P,27/02/2019 06:00,HP1,ug m-3,153.2
Value,NO,P,27/02/2019 07:00,HP1,ug m-3,167.10001
Value,NO,P,27/02/2019 08:00,HP1,ug m-3,187.5
Value,NO,P,27/02/2019 09:00,HP1,ug m-3,215.8
Value,NO,P,27/02/2019 10:00,HP1,ug m-3,161.89999
Value,NO,P,27/02/2019 11:00,HP1,ug m-3,98.1
Value,NO,P,27/03/2019 22:00,HP1,ug m-3,101.3
Value,NO,P,27/03/2019 23:00,HP1,ug m-3,113.2
Value,NO,P,28/03/2019 00:00,HP1,ug m-3,100.7
Value,NO,P,30/03/2019 00:00,HP1,ug m-3,98.9
Value,NO,P,30/03/2019 01:00,HP1,ug m-3,109.5
Value,NO,P,30/03/2019 02:00,HP1,ug m-3,126.2
Value,NO,P,30/03/2019 03:00,HP1,ug m-3,116.8
Value,NO,P,30/03/2019 04:00,HP1,ug m-3,109.9
Value,NO,P,30/03/2019 05:00,HP1,ug m-3,106.6
Value,NO,P,03/05/2019 08:00,HP1,ug m-3,107.0
Value,NO2,P,26/02/2019 11:00,HP1,ug m-3,96.3
Value,NO2,P,26/02/2019 12:00,HP1,ug m-3,91.7
Value,NO2,P,26/02/2019 18:00,HP1,ug m-3,93.7
Value,NO2,P,26/03/2019 20:00,HP1,ug m-3,92.2
Value,NO2,P,27/03/2019 21:00,HP1,ug m-3,92.6
Value,NO2,P,22/04/2019 23:00,HP1,ug m-3,95.2
Value,O3,P,03/03/2019 19:00,HP1,ug m-3,92.0
Value,O3,P,03/03/2019 20:00,HP1,ug m-3,94.0
Value,O3,P,03/03/2019 21:00,HP1,ug m-3,93.9
Value,O3,P,03/03/2019 22:00,HP1,ug m-3,93.0
Value,O3,P,09/03/2019 13:00,HP1,ug m-3,92.7
Value,O3,P,09/03/2019 14:00,HP1,ug m-3,94.3
Value,O3,P,09/03/2019 15:00,HP1,ug m-3,92.0
Value,O3,P,14/03/2019 13:00,HP1,ug m-3,95.5
Value,O3,P,14/03/2019 14:00,HP1,ug m-3,95.7
Value,O3,P,14/03/2019 15:00,HP1,ug m-3,92.7
Value,O3,P,29/03/2019 13:00,HP1,ug m-3,92.2
Value,O3,P,29/03/2019 14:00,HP1,ug m-3,96.7
Value,O3,P,29/03/2019 15:00,HP1,ug m-3,92.9
Value,O3,P,29/03/2019 16:00,HP1,ug m-3,92.9
Value,O3,P,30/03/2019 16:00,HP1,ug m-3,92.4
Value,O3,P,01/04/2019 16:00,HP1,ug m-3,96.6
Value,O3,P,05/04/2019 12:00,HP1,ug m-3,91.6
Value,O3,P,05/04/2019 13:00,HP1,ug m-3,95.2
Value,O3,P,05/04/2019 14:00,HP1,ug m-3,96.0
Value,O3,P,05/04/2019 15:00,HP1,ug m-3,93.9
Value,O3,P,09/04/2019 19:00,HP1,ug m-3,92.2
Value,O3,P,09/04/2019 20:00,HP1,ug m-3,93.9
