ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
ABC,The Look of Love,1982,Love,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
Badly Drawn Boy,The Shining,2000,Love,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt
The Beach Boys,God Only Knows,1966,Love,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
The Beach Boys,Good Vibrations,1966,Love,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
The Beach Boys,Wouldn’t It Be Nice,1966,Love,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
The Beatles,Eight Days a Week,1964,Love,-
The Beatles,Girl,1965,Love,-
The Beatles,I Want to Hold Your Hand,1963,Love,-
The Beatles,She Loves You,1963,Love,-
The Beatles,Something,1969,Love,-
The Beatles,With a Little Help from My Friends,1967,Love,-
The Beautiful South,Song for Whoever,1989,Love,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
The Bee Gees,How Deep is Your Love?,1977,Love,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
Chuck Berry,Sweet Little Sixteen,1958,Love,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
Beyoncé,Crazy in Love,2003,Love,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
Big Star,Thirteen,1972,Love,-
Bobby “Blue” Bland,I’ll Take Care of You,1959,Love,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
David Bowie,Heroes,1977,Love,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
David Bowie,The Wedding Song,1993,Love,http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW
Buffalo Springfield,Sit Down I Think I Love You,1966,Love,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
Solomon Burke,Everybody Needs Somebody to Love,1964,Love,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
R D Burman,Mehbooba Mehbooba,1975,Love,-
Kate Bush,Hounds of Love,1985,Love,-
Kate Bush,The Man With the Child in His Eyes,1978,Love,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
Kate Bush,The Man I Love,1994,Love,-
Carlton and the Shoes,Love Me Forever,1968,Love,-
James Carr,The Dark End of the Street,1967,Love,-
Johnny Cash,I Walk the Line,1956,Love,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA
Nick Cave and the Bad Seeds,Deanna,1988,Love,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D
Ray Charles,I Got a Woman,1954,Love,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
The Chi-Lites,Stoned Out of My Mind,1973,Love,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8
The Chi-Lites,That’s How Long,1974,Love,-
The Clash,Stay Free,1978,Love,-
Judy Clay and William Bell,Private Number,1968,Love,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC
Coldplay,Yellow,2000,Love,http://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
The Contours,Do You Love Me?,1962,Love,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd
Sam Cooke,Cupid,1961,Love,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t
