,THEME,TITLE,ARTIST,YEAR,URL
0,Love,The Look of Love,ABC,1982,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
1,Love,The Shining,Badly Drawn Boy,2000,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt
2,Love,God Only Knows,The Beach Boys,1966,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
3,Love,Good Vibrations,The Beach Boys,1966,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
4,Love,Wouldn’t It Be Nice,The Beach Boys,1966,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
5,Love,Eight Days a Week,The Beatles,1964,https://www.youtube.com/results?search_query=Eight Days a Week The Beatles
6,Love,Girl,The Beatles,1965,https://www.youtube.com/results?search_query=Girl The Beatles
7,Love,I Want to Hold Your Hand,The Beatles,1963,https://www.youtube.com/results?search_query=I Want to Hold Your Hand The Beatles
8,Love,She Loves You,The Beatles,1963,https://www.youtube.com/results?search_query=She Loves You The Beatles
9,Love,Something,The Beatles,1969,https://www.youtube.com/results?search_query=Something The Beatles
10,Love,With a Little Help from My Friends,The Beatles,1967,https://www.youtube.com/results?search_query=With a Little Help from My Friends The Beatles
11,Love,Song for Whoever,The Beautiful South,1989,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
12,Love,How Deep is Your Love?,The Bee Gees,1977,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
13,Love,Sweet Little Sixteen,Chuck Berry,1958,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
14,Love,Crazy in Love,Beyoncé,2003,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
15,Love,Thirteen,Big Star,1972,https://www.youtube.com/results?search_query=Thirteen Big Star
16,Love,I’ll Take Care of You,Bobby “Blue” Bland,1959,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
17,Love,Heroes,David Bowie,1977,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
18,Love,The Wedding Song,David Bowie,1993,http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW
19,Love,Sit Down I Think I Love You,Buffalo Springfield,1966,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
20,Love,Everybody Needs Somebody to Love,Solomon Burke,1964,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
21,Love,Mehbooba Mehbooba,R D Burman,1975,https://www.youtube.com/results?search_query=Mehbooba Mehbooba R D Burman
