|Country code|Country name|Subject code|Subject|Scale|Decimals|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
0|ABW|Aruba|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1840.834|1928.842|1723.49|1771.161|1763.827|1785.829|1811.498|1851.835|1668.485|1686.82|2233.203|2236.87|2255.205|2255.205|2258.872|2273.54|2273.54|2357.881|2288.208|..|..|..
1|ADO|Andorra|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|407.037|425.372|458.375|484.044|513.38|524.381|524.381|531.715|535.382|564.718|575.719|546.383|539.049|539.049|..|..|..
2|AFG|Afghanistan|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|2676.91|2493.56|1426.463|1375.125|1320.12|1268.782|1199.109|1114.768|1056.096|832.409|781.071|645.392|359.366|583.053|704.064|700.397|696.73|715.065|814.074|..|..|..
3|AGO|Angola|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|4429.736|4367.397|4418.735|5801.194|3890.687|11012.001|10491.287|7381.671|7308.331|9156.499|9541.534|9732.218|12665.818|9064.824|18793.375|19156.408|22266.024|25151.953|24370.882|..|..|..
4|ALB|Albania|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|7488.014|3971.361|2387.217|2343.213|1928.842|2086.523|2016.85|1543.807|1752.826|2992.272|3028.942|3230.627|3751.341|4290.39|4004.364|4602.085|4231.718|4481.074|4176.713|..|..|..
5|ARE|United Arab Emirates|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|52009.061|57010.849|58136.618|65980.331|73130.981|70641.088|41059.399|41646.119|81495.408|78374.791|112562.232|101333.878|84300.663|106365.002|112877.594|115627.844|122752.825|137981.876|155066.429|..|..|..
6|ARG|Argentina|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|112613.57|117021.304|121447.373|118609.115|123350.546|122547.473|129217.746|134677.909|137673.848|145488.225|141076.824|140471.769|131406.945|142349.273|155000.423|158924.113|175528.289|183727.701|192378.154|..|..|..
7|ARM|Armenia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|3681.668|2929.933|2966.603|3490.984|2607.237|3278.298|3406.643|3058.278|3465.315|3542.322|3003.273|3428.645|3644.998|4349.062|4378.398|5056.793|5548.171|..|..|..
8|ASM|American Samoa|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..|..
9|ATG|Antigua and Barbuda|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|300.694|293.36|293.36|308.028|311.695|322.696|322.696|337.364|333.697|348.365|344.698|344.698|363.033|388.702|407.037|410.704|425.372|436.373|447.374|..|..|..
10|AUS|Australia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|287331.452|281530.258|294456.433|302116.796|303957.63|307433.946|329259.93|333623.66|346912.868|325523.257|329604.628|324859.53|341397.7|346476.495|349223.078|367393.063|377381.971|380814.283|399218.956|..|..|..
11|AUT|Austria|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|60960.208|65888.656|60531.169|58213.625|57586.568|60622.844|61055.55|61359.911|63549.11|61755.947|61788.95|63637.118|65118.586|72316.907|72118.889|74385.095|72126.223|68807.588|67725.823|..|..|..
12|AZE|Azerbaijan|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|44172.682|43285.268|42383.186|33586.053|31565.536|29966.724|31594.872|29299.33|30546.11|29438.676|30007.061|31162.166|32262.266|34491.802|39317.574|42236.506|47139.285|..|..|..
13|BDI|Burundi|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|304.361|344.698|319.029|337.364|341.031|333.697|330.03|315.362|300.694|293.36|300.694|216.353|220.02|165.015|161.348|165.015|198.018|183.35|179.683|..|..|..
14|BEL|Belgium|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|108469.86|117578.688|114373.73|108924.568|113306.633|112976.603|119624.874|116295.238|119184.834|115844.197|115712.185|114766.099|107531.108|114835.772|111282.449|107116.737|106816.043|102529.32|104879.867|..|..|..
15|BEN|Benin|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|715.065|828.742|905.749|1133.103|1265.115|1327.454|1265.115|1217.444|1213.777|1562.142|1617.147|1738.158|2053.52|2321.211|2398.218|2566.9|3729.339|3879.686|4066.703|..|..|..
16|BFA|Burkina Faso|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|586.72|627.057|630.724|627.057|645.392|627.057|707.731|806.74|861.745|931.418|1041.428|997.424|1004.758|1078.098|1103.767|1125.769|1360.457|1646.483|1855.502|..|..|..
17|BGD|Bangladesh|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|15533.412|15940.449|17748.28|17407.249|18969.391|22816.074|24029.851|25063.945|24040.852|25232.627|27865.533|32449.283|33699.73|33824.408|39735.612|37652.756|46644.24|46930.266|46526.896|..|..|..
18|BGR|Bulgaria|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|77729.399|59706.094|53600.539|69328.302|55848.41|59805.103|56691.82|53681.213|50993.302|43981.998|43530.957|46453.556|44634.724|47307.967|46787.253|47909.355|48943.449|52812.134|50538.594|..|..|..
19|BHR|Bahrain|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|11884.747|11503.379|10590.296|15141.043|15254.72|16021.123|15621.42|17319.241|18404.673|18019.638|18643.028|13927.266|15698.427|16468.497|17275.237|18595.357|20186.835|21481.286|22478.71|..|..|..
20|BHS|Bahamas, The|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1950.844|1782.162|1793.163|1716.156|1719.823|1730.824|1730.824|1741.825|1793.163|1796.83|1796.83|1796.83|2082.856|1870.17|2009.516|2108.525|2137.861|2148.862|2156.196|..|..|..
21|BIH|Bosnia and Herzegovina|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|3938.358|3270.964|3630.33|3542.322|5368.488|12500.803|16226.475|18771.373|23252.447|20722.217|22944.419|23263.448|24634.906|25632.33|27469.497|28987.635|31275.843|..|..|..
22|BLR|Belarus|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|..|..|87487.286|74451.101|65914.325|62118.98|60157.135|59519.077|57597.569|55819.074|53468.527|52595.781|52390.429|53721.55|58220.959|59042.367|61807.285|60256.144|62815.71|..|..|..
23|BLZ|Belize|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|311.695|359.366|355.699|377.701|374.034|377.701|308.028|388.702|370.367|601.388|689.396|711.398|359.366|374.034|381.368|396.036|407.037|425.372|425.372|..|..|..
24|BMU|Bermuda|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|597.721|509.713|407.037|480.377|473.043|465.709|476.71|476.71|462.042|495.045|495.045|495.045|524.381|509.713|671.061|443.707|520.714|517.047|388.702|..|..|..
25|BOL|Bolivia|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|5504.167|5779.192|6648.271|8038.064|8907.143|9424.19|8734.794|9842.228|10326.272|9768.888|9519.532|8830.136|8346.092|11521.714|10626.966|10293.269|10465.618|13054.52|12834.5|..|..|..
26|BRA|Brazil|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|208886.988|219330.604|220705.729|230738.641|242154.012|275564.049|301244.05|321199.864|314012.544|322068.943|330125.342|339894.23|335185.802|324753.187|341166.679|349967.479|352541.713|368368.485|393219.744|..|..|..
27|BRB|Barbados|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|1074.431|1206.443|979.089|1114.768|748.068|828.742|850.744|902.082|1140.437|1210.11|1188.108|1221.111|1228.445|1268.782|1294.451|1353.123|1371.458|1349.456|1353.123|..|..|..
28|BRN|Brunei Darussalam|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|6420.917|5815.862|5808.528|5588.508|5408.825|5515.168|5595.842|5812.195|5984.544|4598.418|6527.26|6197.23|5320.817|5357.487|5361.154|5126.466|4822.105|9559.869|10593.963|..|..|..
29|BTN|Bhutan|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|128.345|187.017|216.353|187.017|212.686|249.356|304.361|396.036|385.035|385.035|399.703|414.371|513.38|465.709|469.376|682.062|421.705|579.386|733.4|..|..|..
30|BWA|Botswana|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|2178.198|2148.862|3296.633|3509.319|3509.319|3523.987|3138.952|3212.292|3832.015|3545.989|4275.722|4334.394|4484.741|4264.721|4378.398|4525.078|4459.072|4638.755|4840.44|..|..|..
31|CAF|Central African Republic|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|198.018|205.352|216.353|223.687|234.688|234.688|234.688|245.689|249.356|264.024|267.691|245.689|245.689|234.688|234.688|234.688|249.356|253.023|260.357|..|..|..
32|CAN|Canada|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|450076.579|449053.486|467648.843|477920.11|454491.647|459790.462|467883.531|483233.593|478880.864|477868.772|537402.517|527131.25|521832.435|553478.645|555865.862|562796.492|548704.211|544171.799|544091.125|..|..|..
33|CHE|Switzerland|EN.ATM.CO2E.KT|CO2 emissions total (KtCO2)|0.0|1.0|42966.239|42350.183|43325.605|41022.729|41470.103|39387.247|40025.305|41580.113|41913.81|40700.033|39093.887|42999.242|40769.706|40241.658|40443.343|41374.761|41877.14|38019.456|40392.005|..|..|..
