,month,day,year,char_unknow,time_hour,time_minutes,operator,category_operator,ac_type,category_ac_type,country,route,aboard_people,fatalities_total,ground_deads,summary
0,September,17,1908,not c,17,18,Military - U.S. Army,Military,Wright Flyer III,No category,United States,Demonstration,2 ,1 ,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1,September,07,1909,not c,Unknown,Unknown,Unknown,No category,Wright Byplane,No category,France,Air show,1 ,1 ,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
2,July,12,1912,not c,06,30,Military - U.S. Navy,Military,Dirigible,No category,United States,Test flight,5 ,5 ,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
3,August,06,1913,not c,Unknown,Unknown,Private,No category,Curtiss seaplane,No category,Canada,Unknown,1 ,1 ,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
4,September,09,1913,c,18,30,Military - German Navy,Military,Zeppelin L-1 (airship),No category,Over the North Sea,Unknown,20 ,14 ,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
5,October,17,1913,c,10,30,Military - German Navy,Military,Zeppelin L-2 (airship),No category,Germany,Unknown,30 ,30 ,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
6,March,05,1915,c,01,00,Military - German Navy,Military,Zeppelin L-8 (airship),No category,Belgium,Unknown,41 ,21 ,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
7,September,03,1915,c,15,20,Military - German Navy,Military,Zeppelin L-10 (airship),No category,Germany,Unknown,19 ,19 ,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
8,July,28,1916,not c,Unknown,Unknown,Military - German Army,Military,Schutte-Lanz S-L-10 (airship),No category,Bulgeria,Unknown,20 ,20 ,0,"Crashed near the Black Sea, cause unknown."
9,September,24,1916,c,01,00,Military - German Navy,Military,Zeppelin L-32 (airship),No category,England,Unknown,22 ,22 ,0,Shot down by British aircraft crashing in flames.
10,October,01,1916,c,23,45,Military - German Navy,Military,Zeppelin L-31 (airship),No category,England,Unknown,19 ,19 ,0,Shot down in flames by the British 39th Home Defence Squadron.
11,November,21,1916,not c,Unknown,Unknown,Military - German Army,Military,Super Zeppelin (airship),No category,Germany,Unknown,28 ,27 ,0,Crashed in a storm.
12,November,28,1916,c,23,45,Military - German Navy,Military,Zeppelin L-34 (airship),No category,England,Unknown,20 ,20 ,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
13,March,04,1917,not c,Unknown,Unknown,Military - German Army,Military,Airship,No category,Belgium,Unknown,20 ,20 ,0,Caught fire and crashed.
14,March,30,1917,not c,Unknown,Unknown,Military - German Navy,Military,Schutte-Lanz S-L-9 (airship),No category,Off Northern Germany,Unknown,23 ,23 ,0,Struck by lightning and crashed into the Baltic Sea.
15,May,14,1917,c,05,15,Military - German Navy,Military,Zeppelin L-22 (airship),No category,North Sea,Unknown,21 ,21 ,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
16,June,14,1917,c,08,45,Military - German Navy,Military,Zeppelin L-43 (airship),No category,North Sea,Unknown,24 ,24 ,0,Shot down by British aircraft.
17,June,17,1917,not c,Unknown,Unknown,Unknown,No category,Zepplin LZ-95 (air ship),No category,England,Unknown,16 ,14 ,0,Shot down by aircraft.
18,August,21,1917,c,07,00,Military - German Navy,Military,Zeppelin L-23 (airship),No category,Off western Denmark,Unknown,18 ,18 ,0,Shot down by British aircraft.
19,October,20,1917,c,07,45,Military - German Navy,Military,Zeppelin L-44 (airship),No category,France,Unknown,18 ,18 ,0,Shot down by French anti-aircraft fire.
20,April,07,1918,c,21,30,Military - German Navy,Military,Zeppelin L-59 (airship),No category,Over the Mediterranean,Unknown,23 ,23 ,0,Exploded and crashed into the sea off the southern coast of Italy.
21,May,10,1918,not c,Unknown,Unknown,Military - German Navy,Military,Zeppelin L-70 (airship),No category,Germany,Unknown,22 ,22 ,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
22,August,11,1918,c,10,00,Military - German Navy,Military,Zeppelin L-53 (airship),No category,North Sea,Unknown,19 ,19 ,0,Shot down by british aircraft.
