,date_time,location,operator,flight_no,route,ac_type,registration,cn_ln,summary,total_aboard,total_passengers,total_crew,total_fatalities,passenger_fatalities,crew_fatalities,ground_fatalities
0,1908-09-17 17:18:00,"Fort Myer, Virginia",Military - U.S. Army,NoData,Demonstration,Wright Flyer III,NoData,1,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",2,1,1,1,1,0,0
1,1909-09-07 00:00:00,"Juvisy-sur-Orge, France",NoData,NoData,Air show,Wright Byplane,SC1,NoData,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",1,0,1,1,0,0,0
2,1912-07-12 06:30:00,"Atlantic City, New Jersey",Military - U.S. Navy,NoData,Test flight,Dirigible,NoData,NoData,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",5,0,5,5,0,5,0
3,1913-08-06 00:00:00,"Victoria, British Columbia, Canada",Private,NoData,NoData,Curtiss seaplane,NoData,NoData,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1,0,1,1,0,1,0
4,1913-09-09 18:30:00,Over the North Sea,Military - German Navy,NoData,NoData,Zeppelin L-1 (airship),NoData,NoData,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,20,NoData,NoData,14,NoData,NoData,0
5,1913-10-17 10:30:00,"Near Johannisthal, Germany",Military - German Navy,NoData,NoData,Zeppelin L-2 (airship),NoData,NoData,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",30,NoData,NoData,30,NoData,NoData,0
6,1915-03-05 01:00:00,"Tienen, Belgium",Military - German Navy,NoData,NoData,Zeppelin L-8 (airship),NoData,NoData,Crashed into trees while attempting to land after being shot down by British and French aircraft.,41,NoData,NoData,21,NoData,NoData,0
7,1915-09-03 15:20:00,"Off Cuxhaven, Germany",Military - German Navy,NoData,NoData,Zeppelin L-10 (airship),NoData,NoData,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",19,NoData,NoData,19,NoData,NoData,0
8,1916-07-28 00:00:00,"Near Jambol, Bulgeria",Military - German Army,NoData,NoData,Schutte-Lanz S-L-10 (airship),NoData,NoData,"Crashed near the Black Sea, cause unknown.",20,NoData,NoData,20,NoData,NoData,0
9,1916-09-24 01:00:00,"Billericay, England",Military - German Navy,NoData,NoData,Zeppelin L-32 (airship),NoData,NoData,Shot down by British aircraft crashing in flames.,22,NoData,NoData,22,NoData,NoData,0
10,1916-10-01 23:45:00,"Potters Bar, England",Military - German Navy,NoData,NoData,Zeppelin L-31 (airship),NoData,NoData,Shot down in flames by the British 39th Home Defence Squadron.,19,0,19,19,0,19,0
11,1916-11-21 00:00:00,"Mainz, Germany",Military - German Army,NoData,NoData,Super Zeppelin (airship),NoData,NoData,Crashed in a storm.,28,NoData,NoData,27,NoData,NoData,0
12,1916-11-28 23:45:00,"Off West Hartlepool, England",Military - German Navy,NoData,NoData,Zeppelin L-34 (airship),NoData,NoData,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,20,NoData,NoData,20,NoData,NoData,0
13,1917-03-04 00:00:00,"Near Gent, Belgium",Military - German Army,NoData,NoData,Airship,NoData,NoData,Caught fire and crashed.,20,NoData,NoData,20,NoData,NoData,0
14,1917-03-30 00:00:00,Off Northern Germany,Military - German Navy,NoData,NoData,Schutte-Lanz S-L-9 (airship),NoData,NoData,Struck by lightning and crashed into the Baltic Sea.,23,NoData,NoData,23,NoData,NoData,0
