resultId,raceId,position,driverId,number,constructorId,grid,laps,points
1,18,1,1,22,1,1,58,10
2,18,2,2,3,2,5,58,8
3,18,3,3,7,3,7,58,6
4,18,4,4,5,4,11,58,5
5,18,5,5,23,1,3,58,4
6,18,6,6,8,3,13,57,3
7,18,7,7,14,5,17,55,2
8,18,8,8,1,6,15,53,1
9,18,9,9,4,2,2,47,0
10,18,10,10,12,7,18,43,0
11,18,11,11,18,8,19,32,0
12,18,12,12,6,4,20,30,0
13,18,13,13,2,6,4,29,0
14,18,14,14,9,9,8,25,0
15,18,15,15,11,7,6,19,0
16,18,16,16,20,10,22,8,0
17,18,17,17,10,9,14,0,0
18,18,18,18,16,11,12,0,0
19,18,19,19,19,8,21,0,0
20,18,20,20,15,5,9,0,0
21,18,21,21,21,10,16,0,0
22,18,22,22,17,11,10,58,0
23,19,1,8,1,6,2,56,10
24,19,2,9,4,2,4,56,8
25,19,3,5,23,1,8,56,6
26,19,4,15,11,7,3,56,5
27,19,5,1,22,1,9,56,4
28,19,6,2,3,2,5,56,3
29,19,7,17,10,9,6,56,2
30,19,8,4,5,4,7,56,1
31,19,9,14,9,9,12,56,0
32,19,10,18,16,11,11,56,0
33,19,11,12,6,4,13,56,0
34,19,12,21,21,10,17,55,0
35,19,13,22,17,11,14,55,0
36,19,14,3,7,3,16,55,0
37,19,15,19,19,8,21,55,0
38,19,16,11,18,8,19,54,0
39,19,17,6,8,3,22,54,0
40,19,18,20,15,5,15,39,0
41,19,19,13,2,6,1,30,0
42,19,20,16,20,10,20,5,0
43,19,21,10,12,7,10,1,0
44,19,22,7,14,5,18,0,0
45,20,1,13,2,6,2,57,10
46,20,2,8,1,6,4,57,8
47,20,3,9,4,2,1,57,6
48,20,4,2,3,2,6,57,5
49,20,5,5,23,1,5,57,4
50,20,6,15,11,7,7,57,3
51,20,7,17,10,9,11,57,2
52,20,8,3,7,3,8,57,1
53,20,9,10,12,7,13,57,0
54,20,10,4,5,4,10,57,0
55,20,11,22,17,11,12,57,0
56,20,12,21,21,10,18,56,0
57,20,13,1,22,1,3,56,0
58,20,14,6,8,3,16,56,0
59,20,15,7,14,5,15,56,0
60,20,16,19,19,8,21,56,0
61,20,17,11,18,8,22,56,0
62,20,18,14,9,9,17,56,0
63,20,19,16,20,10,20,56,0
64,20,20,12,6,4,14,40,0
65,20,21,18,16,11,9,19,0
66,20,22,20,15,5,19,0,0
67,21,1,8,1,6,1,66,10
68,21,2,13,2,6,3,66,8
69,21,3,1,22,1,5,66,6
70,21,4,9,4,2,4,66,5
71,21,5,17,10,9,7,66,4
72,21,6,18,16,11,13,66,3
73,21,7,6,8,3,12,66,2
74,21,8,15,11,7,8,66,1
75,21,9,2,3,2,9,66,0
76,21,10,21,21,10,19,65,0
77,21,11,10,12,7,14,65,0
78,21,12,14,9,9,17,65,0
79,21,13,11,18,8,22,65,0
80,21,14,3,7,3,15,41,0
81,21,15,4,5,4,2,34,0
82,21,16,22,17,11,11,34,0
83,21,17,5,23,1,6,21,0
84,21,18,19,19,8,21,8,0
85,21,19,7,14,5,16,7,0
86,21,20,12,6,4,10,6,0
87,21,21,16,20,10,20,0,0
88,21,22,20,15,5,18,0,0
89,22,1,13,2,6,1,58,10
90,22,2,1,22,1,3,58,8
91,22,3,8,1,6,4,58,6
92,22,4,9,4,2,5,58,5
93,22,5,2,3,2,9,58,4
94,22,6,4,5,4,7,58,3
95,22,7,17,10,9,6,58,2
96,22,8,3,7,3,11,58,1
97,22,9,14,9,9,10,58,0
98,22,10,15,11,7,8,58,0
99,22,11,18,16,11,13,57,0
100,22,12,5,23,1,2,57,0
101,22,13,10,12,7,15,57,0
102,22,14,22,17,11,12,57,0
103,22,15,12,6,4,17,57,0
104,22,16,16,20,10,19,57,0
105,22,17,20,15,5,14,57,0
106,22,18,7,14,5,18,24,0
107,22,19,6,8,3,16,1,0
108,22,20,21,21,10,20,0,0
109,23,1,1,22,1,3,76,10
110,23,2,9,4,2,5,76,8
111,23,3,13,2,6,1,76,6
112,23,4,17,10,9,9,76,5
113,23,5,20,15,5,19,76,4
114,23,6,22,17,11,14,76,3
115,23,7,6,8,3,13,76,2
116,23,8,5,23,1,4,76,1
117,23,9,8,1,6,2,76,0
118,23,10,4,5,4,7,75,0
119,23,11,18,16,11,11,75,0
120,23,12,10,12,7,10,75,0
121,23,13,15,11,7,8,75,0
122,23,14,2,3,2,12,72,0
123,23,15,16,20,10,18,67,0
124,23,16,3,7,3,6,59,0
125,23,17,12,6,4,17,47,0
126,23,18,21,21,10,20,36,0
127,23,19,14,9,9,15,7,0
128,23,20,7,14,5,16,7,0
129,24,1,9,4,2,2,70,10
130,24,2,2,3,2,8,70,8
131,24,3,14,9,9,13,70,6
132,24,4,10,12,7,11,70,5
133,24,5,13,2,6,6,70,4
134,24,6,15,11,7,14,70,3
135,24,7,22,17,11,9,70,2
136,24,8,20,15,5,19,70,1
137,24,9,5,23,1,7,70,0
138,24,10,3,7,3,5,70,0
139,24,11,18,16,11,20,70,0
140,24,12,17,10,9,10,70,0
141,24,13,7,14,5,18,69,0
142,24,14,21,21,10,17,51,0
143,24,15,6,8,3,12,46,0
144,24,16,4,5,4,4,44,0
145,24,17,12,6,4,15,43,0
146,24,18,8,1,6,3,19,0
147,24,19,1,22,1,1,19,0
148,24,20,16,20,10,16,13,0
149,25,1,13,2,6,2,70,10
150,25,2,8,1,6,1,70,8
151,25,3,15,11,7,4,70,6
152,25,4,5,23,1,10,70,5
153,25,5,9,4,2,5,70,4
154,25,6,17,10,9,6,70,3
155,25,7,12,6,4,9,70,2
156,25,8,4,5,4,3,70,1
157,25,9,14,9,9,7,70,0
158,25,10,1,22,1,13,70,0
159,25,11,10,12,7,8,70,0
160,25,12,20,15,5,12,70,0
161,25,13,2,3,2,11,70,0
162,25,14,22,17,11,20,69,0
163,25,15,6,8,3,15,69,0
164,25,16,3,7,3,19,69,0
165,25,17,7,14,5,14,69,0
166,25,18,21,21,10,17,69,0
167,25,19,16,20,10,18,69,0
168,25,20,18,16,11,16,16,0
169,26,1,1,22,1,4,60,10
170,26,2,2,3,2,5,60,8
171,26,3,22,17,11,16,60,6
172,26,4,8,1,6,3,59,5
173,26,5,5,23,1,1,59,4
174,26,6,4,5,4,6,59,3
175,26,7,15,11,7,14,59,2
176,26,8,6,8,3,15,59,1
177,26,9,3,7,3,20,59,0
178,26,10,17,10,9,2,59,0
179,26,11,7,14,5,13,59,0
180,26,12,10,12,7,12,59,0
181,26,13,13,2,6,9,58,0
182,26,14,9,4,2,10,39,0
183,26,15,18,16,11,17,38,0
184,26,16,12,6,4,7,35,0
185,26,17,21,21,10,19,16,0
186,26,18,16,20,10,18,10,0
187,26,19,20,15,5,8,0,0
188,26,20,14,9,9,11,0,0
189,27,1,1,22,1,1,67,10
190,27,2,12,6,4,17,67,8
191,27,3,13,2,6,2,67,6
192,27,4,2,3,2,12,67,5
193,27,5,5,23,1,3,67,4
194,27,6,8,1,6,6,67,3
195,27,7,9,4,2,7,67,2
196,27,8,20,15,5,9,67,1
197,27,9,15,11,7,4,67,0
198,27,10,3,7,3,13,67,0
199,27,11,4,5,4,5,67,0
200,27,12,7,14,5,15,67,0
201,27,13,14,9,9,10,67,0
202,27,14,6,8,3,16,67,0
203,27,15,16,20,10,19,67,0
204,27,16,21,21,10,20,67,0
205,27,17,18,16,11,14,66,0
206,27,18,22,17,11,18,50,0
207,27,19,17,10,9,8,40,0
208,27,20,10,12,7,11,35,0
209,28,1,5,23,1,2,70,10
210,28,2,10,12,7,5,70,8
211,28,3,8,1,6,6,70,6
212,28,4,4,5,4,7,70,5
213,28,5,1,22,1,1,70,4
214,28,6,12,6,4,10,70,3
215,28,7,15,11,7,9,70,2
216,28,8,9,4,2,4,70,1
217,28,9,17,10,9,8,70,0
218,28,10,2,3,2,15,70,0
219,28,11,14,9,9,13,70,0
220,28,12,18,16,11,12,69,0
221,28,13,6,8,3,16,69,0
222,28,14,3,7,3,14,69,0
223,28,15,21,21,10,18,69,0
224,28,16,22,17,11,17,68,0
225,28,17,13,2,6,3,67,0
226,28,18,7,14,5,19,67,0
227,28,19,16,20,10,20,62,0
228,28,20,20,15,5,11,22,0
229,29,1,13,2,6,1,57,10
230,29,2,1,22,1,2,57,8
231,29,3,9,4,2,3,57,6
232,29,4,5,23,1,5,57,5
233,29,5,15,11,7,7,57,4
234,29,6,20,15,5,6,57,3
235,29,7,10,12,7,13,57,2
236,29,8,3,7,3,9,57,1
237,29,9,2,3,2,8,57,0
238,29,10,7,14,5,10,57,0
239,29,11,12,6,4,15,57,0
240,29,12,17,10,9,14,56,0
241,29,13,18,16,11,16,56,0
242,29,14,21,21,10,18,56,0
243,29,15,6,8,3,11,56,0
244,29,16,22,17,11,19,56,0
245,29,17,14,9,9,17,56,0
246,29,18,8,1,6,4,45,0
247,29,19,16,20,10,20,41,0
248,29,20,4,5,4,12,0,0
249,30,1,13,2,6,2,44,10
250,30,2,2,3,2,5,44,8
251,30,3,1,22,1,1,44,6
252,30,4,4,5,4,6,44,5
253,30,5,20,15,5,10,44,4
254,30,6,9,4,2,8,44,3
255,30,7,7,14,5,9,44,2
256,30,8,17,10,9,7,44,1
257,30,9,10,12,7,13,44,0
258,30,10,5,23,1,3,43,0
259,30,11,14,9,9,14,43,0
260,30,12,3,7,3,15,43,0
261,30,13,16,20,10,18,43,0
262,30,14,6,8,3,19,43,0
263,30,15,18,16,11,17,43,0
264,30,16,15,11,7,11,43,0
265,30,17,21,21,10,20,43,0
266,30,18,8,1,6,4,42,0
267,30,19,22,17,11,16,19,0
268,30,20,12,6,4,12,13,0
269,31,1,20,15,5,1,53,10
270,31,2,5,23,1,2,53,8
271,31,3,9,4,2,11,53,6
272,31,4,4,5,4,8,53,5
273,31,5,2,3,2,10,53,4
274,31,6,13,2,6,6,53,3
275,31,7,1,22,1,15,53,2
276,31,8,17,10,9,3,53,1
277,31,9,8,1,6,14,53,0
278,31,10,12,6,4,17,53,0
279,31,11,10,12,7,9,53,0
280,31,12,6,8,3,18,53,0
281,31,13,15,11,7,7,53,0
282,31,14,3,7,3,5,53,0
283,31,15,18,16,11,19,53,0
284,31,16,14,9,9,13,52,0
285,31,17,22,17,11,16,52,0
286,31,18,7,14,5,4,52,0
287,31,19,16,20,10,20,51,0
288,31,20,21,21,10,12,11,0
289,32,1,4,5,4,15,61,10
290,32,2,3,7,3,8,61,8
291,32,3,1,22,1,2,61,6
292,32,4,10,12,7,7,61,5
293,32,5,20,15,5,6,61,4
294,32,6,2,3,2,9,61,3
295,32,7,14,9,9,14,61,2
296,32,8,6,8,3,10,61,1
297,32,9,18,16,11,12,61,0
298,32,10,5,23,1,5,61,0
299,32,11,9,4,2,4,61,0
300,32,12,7,14,5,17,61,0
301,32,13,13,2,6,1,61,0
302,32,14,21,21,10,20,61,0
303,32,15,8,1,6,3,57,0
304,32,16,15,11,7,11,50,0
305,32,17,16,20,10,19,49,0
306,32,18,17,10,9,13,29,0
307,32,19,22,17,11,18,14,0
308,32,20,12,6,4,16,13,0
309,33,1,4,5,4,4,67,10
310,33,2,9,4,2,6,67,8
311,33,3,8,1,6,2,67,6
312,33,4,12,6,4,12,67,5
313,33,5,15,11,7,7,67,4
314,33,6,20,15,5,9,67,3
315,33,7,13,2,6,5,67,2
316,33,8,17,10,9,13,67,1
317,33,9,2,3,2,16,67,0
318,33,10,7,14,5,10,67,0
319,33,11,3,7,3,15,67,0
320,33,12,1,22,1,1,67,0
321,33,13,22,17,11,17,66,0
322,33,14,18,16,11,18,66,0
323,33,15,6,8,3,14,66,0
324,33,16,21,21,10,20,21,0
325,33,17,5,23,1,3,16,0
326,33,18,16,20,10,19,8,0
327,33,19,10,12,7,8,6,0
328,33,20,14,9,9,11,0,0
329,34,1,1,22,1,1,56,10
330,34,2,13,2,6,3,56,8
331,34,3,8,1,6,2,56,6
332,34,4,4,5,4,4,56,5
333,34,5,2,3,2,9,56,4
334,34,6,9,4,2,11,56,3
335,34,7,10,12,7,12,56,2
336,34,8,12,6,4,10,56,1
337,34,9,20,15,5,6,56,0
338,34,10,14,9,9,15,56,0
339,34,11,22,17,11,13,56,0
340,34,12,6,8,3,17,56,0
341,34,13,7,14,5,8,56,0
342,34,14,17,10,9,16,56,0
343,34,15,3,7,3,14,55,0
344,34,16,18,16,11,18,55,0
345,34,17,21,21,10,20,55,0
346,34,18,5,23,1,5,49,0
347,34,19,16,20,10,19,13,0
